employee_id,hire_date,term_date,first_name,last_name,department,sub-department,first_level_manager,second_level_manager,third_level_manager,fourth_level_manager,job_level,salary,term_type,term_reason,active_status,gender,race,birth_date,education,location,location_city,marital_status,employment_status
99936582,2012-08-16,,Brigitta,Cucinotta,Software,Software Development,7288271093.0,9798129566.0,9368442131.0,12104572130.0,Individual Contributor,89101,,,1,Female,Caucasian,11/3/1981,Bachelor's degree,Remote,Austin,Single,Full Time
102701579,2019-05-03,,Elia,Broek,Operations,Project Management,934452372.0,1740357466.0,12104572130.0,,Team Lead,95678,,,1,Male,Caucasian,1/15/1976,Bachelor's degree,Remote,Houston,Married,Full Time
103727226,2013-08-26,,Gardy,Houlison,Legal,Intellectual Property,3019821790.0,9988968226.0,6102968019.0,12104572130.0,Individual Contributor,64227,,,1,Male,African American,10/5/1980,Bachelor's degree,Remote,New York,Single,Full Time
104110475,2020-09-28,2021-10-01,Gaspard,Shellsheere,Customer Service,Account Management,9705951632.0,8237113481.0,9657388599.0,12104572130.0,Individual Contributor,69198,Voluntary,Found a better opportunity,0,Male,Caucasian,1/28/1978,Bachelor's degree,Remote,Denver,Married,Full Time
104398693,2013-11-08,,Sydney,Cayser,Legal,Intellectual Property,5747843646.0,3506070575.0,5222419382.0,12104572130.0,Individual Contributor,88790,,,1,Male,Caucasian,4/26/1980,Bachelor's degree,Remote,Houston,Single,Full Time
107304873,2019-01-10,,Cord,Joselovitch,Sales,Business Development,3877282292.0,7246033069.0,8057668487.0,12104572130.0,Individual Contributor,62734,,,1,Male,Caucasian,1/8/1987,Bachelor's degree,On-site,San Francisco,Single,Full Time
107619581,2019-07-06,,Erek,Gounard,Sales,Business Development,4618795010.0,2169536929.0,12104572130.0,,Team Lead,89383,,,1,Male,Caucasian,8/3/1994,Bachelor's degree,Remote,Dallas,Single,Full Time
110434768,2012-08-03,,Fern,Bodesson,Legal,Intellectual Property,7498405488.0,8584020002.0,6102968019.0,12104572130.0,Individual Contributor,89340,,,1,Female,Asian,1/19/1991,Master's degree,Remote,Charlotte,Single,Full Time
111958560,2013-05-12,,Wilhelmine,Comsty,Software,Software Development,7269739934.0,615530838.0,5254944830.0,12104572130.0,Individual Contributor,69043,,,1,Female,Hispanic,11/1/1989,Associate's degree,Remote,Austin,Single,Full Time
113347083,2020-07-23,2021-07-28,Layton,Lumm,R&D,Product Design,12104572130.0,,,,Director,129133,Voluntary,More flexible benefits,0,Male,Caucasian,9/29/1994,Bachelor's degree,Remote,Columbus,Single,Full Time
114604934,2016-01-27,,Esma,Pannett,Customer Service,Technical Support,6214299923.0,9657388599.0,12104572130.0,,Team Lead,59619,,,1,Female,Caucasian,1/21/1998,Master's degree,Remote,Denver,Single,Full Time
117092761,2016-07-07,,Trina,Syrett,R&D,Research,6437708561.0,9562660050.0,1424199297.0,12104572130.0,Individual Contributor,86179,,,1,Female,Asian,11/2/1985,Associate's degree,Remote,San Francisco,Single,Full Time
119470901,2018-12-14,2019-10-07,Norris,Klimek,Operations,Supply Chain,4440178400.0,216953146.0,8375539146.0,12104572130.0,Individual Contributor,71892,Voluntary,Found a better opportunity,0,Male,Asian,11/27/1996,Bachelor's degree,Remote,Philadelphia,Single,Full Time
121832607,2018-11-13,2020-09-27,Claiborn,Dorie,Operations,Project Management,7626222393.0,3966372359.0,8375539146.0,12104572130.0,Individual Contributor,80625,Involuntary,Company restructuring,0,Male,Caucasian,2/17/1986,Bachelor's degree,Remote,Fort Worth,Single,Full Time
129447183,2020-02-01,,Sax,Hibbart,Sales,Business Development,3922225197.0,2305445429.0,2169536929.0,12104572130.0,Individual Contributor,82827,,,1,Male,Caucasian,2/17/1989,Bachelor's degree,Remote,Fort Worth,Married,Full Time
130593032,2018-01-14,2020-01-27,Cordey,Davidowich,HR,Recruiting,8012519959.0,6054796568.0,3315940256.0,12104572130.0,Individual Contributor,55962,Voluntary,Better salary,0,Female,Caucasian,1/5/1996,Bachelor's degree,Remote,San Diego,Married,Full Time
130811916,2015-05-24,,Con,Coatts,Customer Service,Customer Support,2523044225.0,7799349465.0,9657388599.0,12104572130.0,Individual Contributor,57275,,,1,Male,Caucasian,10/9/1994,Bachelor's degree,On-site,Dallas,Single,Full Time
132956038,2013-01-15,,Jacenta,St. Louis,Legal,Corporate Law,1703031136.0,1490361837.0,6102968019.0,12104572130.0,Individual Contributor,82937,,,1,Female,Caucasian,11/1/1988,Master's degree,Remote,Chicago,Married,Full Time
133287801,2016-01-21,,Phillip,Crumley,Sales,Business Development,2241679125.0,8057668487.0,12104572130.0,,Team Lead,59064,,,1,Male,African American,1/12/1990,Bachelor's degree,On-site,San Francisco,Single,Full Time
135888623,2019-12-03,,Toiboid,Aizikovich,Finance,Financial Planning,8412275732.0,4691268378.0,12104572130.0,,Team Lead,95969,,,1,Male,Caucasian,7/1/1994,Bachelor's degree,Remote,Jacksonville,Single,Full Time
138050097,2013-04-15,2014-04-12,Upton,Eccleston,Legal,Intellectual Property,8466707201.0,3506070575.0,2591261030.0,12104572130.0,Individual Contributor,83634,Voluntary,Better salary,0,Male,Caucasian,8/21/1998,Bachelor's degree,Remote,Boston,Single,Full Time
138900485,2017-05-17,,Melisande,Bere,Software,QA,1097818055.0,6268712051.0,12104572130.0,,Team Lead,114010,,,1,Female,Caucasian,9/12/2000,Bachelor's degree,Remote,Columbus,Single,Full Time
139896362,2012-09-07,,Barnabas,Arent,Administration,Facilities,7708444201.0,4609895564.0,5419153998.0,12104572130.0,Individual Contributor,65914,,,1,Male,Hispanic,1/26/1980,Bachelor's degree,Remote,San Diego,Single,Full Time
141309901,2013-10-10,2015-10-13,Marian,Newland,Legal,Intellectual Property,9988968226.0,5222419382.0,12104572130.0,,Team Lead,93474,Voluntary,More flexible benefits,0,Female,Caucasian,8/3/1992,Bachelor's degree,Remote,San Francisco,Married,Full Time
145744190,2019-02-04,,Coral,Doerffer,Marketing,Marketing Research,8236942363.0,5584969996.0,9743222543.0,12104572130.0,Individual Contributor,84500,,,1,Female,Caucasian,7/2/1990,Bachelor's degree,On-site,San Francisco,Single,Full Time
147680931,2015-04-13,,Jacob,Galbreth,Sales,Account Management,3877282292.0,8143187226.0,1074347333.0,12104572130.0,Individual Contributor,72557,,,1,Male,Hispanic,1/9/1976,Bachelor's degree,On-site,Los Angeles,Married,Full Time
147829139,2012-08-05,2013-05-25,Shannon,Dignall,Product Development,Product Marketing,3448401754.0,2316448272.0,12104572130.0,,Team Lead,68328,Involuntary,Company restructuring,0,Male,African American,8/13/1995,Bachelor's degree,Remote,San Jose,Single,Full Time
149851515,2017-12-31,,Emmalyn,Pendle,Customer Service,Customer Support,114604934.0,8237113481.0,9657388599.0,12104572130.0,Individual Contributor,67604,,,1,Female,Caucasian,12/13/2001,Bachelor's degree,Remote,Charlotte,Single,Full Time
153046653,2021-12-04,,Zelda,Barnsdall,HR,Training,6030473922.0,4930496475.0,8377149542.0,12104572130.0,Individual Contributor,60661,,,1,Female,African American,8/6/1999,Bachelor's degree,Remote,San Antonio,Single,Full Time
153162883,2020-04-26,,Roth,Duetschens,Sales,Sales Operations,4167242155.0,2612461749.0,4098218245.0,12104572130.0,Individual Contributor,72786,,,1,Male,Caucasian,3/18/1969,Bachelor's degree,Remote,Chicago,Married,Full Time
154992144,2020-10-12,,Portie,Brauner,Marketing,Advertising,6790368933.0,3567515372.0,4092540016.0,12104572130.0,Individual Contributor,52767,,,1,Male,African American,10/15/1974,Bachelor's degree,On-site,Los Angeles,Married,Full Time
157034156,2019-05-03,,Saunder,Ockendon,Marketing,Marketing Research,8258486776.0,2271051594.0,4092540016.0,12104572130.0,Individual Contributor,88157,,,1,Male,Caucasian,2/15/1991,Master's degree,Remote,Indianapolis,Single,Full Time
160153511,2021-07-24,2021-10-02,Fernandina,Moyer,Software,QA,5200779776.0,1235334166.0,226422921.0,12104572130.0,Individual Contributor,73144,Voluntary,More flexible benefits,0,Female,Caucasian,12/5/1984,Bachelor's degree,Remote,Phoenix,Single,Full Time
161461539,2021-01-07,,Tulley,Popov,Procurement,Procurement,8886609535.0,822744718.0,12104572130.0,,Team Lead,70097,,,1,Male,Hispanic,4/17/1979,Bachelor's degree,Remote,Chicago,Single,Full Time
163183144,2020-10-11,2020-12-11,Ker,Abade,Software,QA,5200779776.0,1235334166.0,7357925070.0,12104572130.0,Individual Contributor,94395,Voluntary,Found a better opportunity,0,Male,Asian,1/5/1994,Associate's degree,Remote,Chicago,Married,Full Time
164422733,2013-01-09,2014-11-25,Baxy,Penwell,Marketing,Public Relations,6637306671.0,7505933947.0,4092540016.0,12104572130.0,Individual Contributor,64416,Involuntary,Termination for cause,0,Male,Caucasian,2/18/1996,Bachelor's degree,Remote,Columbus,Married,Full Time
169191661,2014-05-04,,Melody,Seiffert,Sales,Account Management,318067557.0,2747567836.0,4098218245.0,12104572130.0,Individual Contributor,69185,,,1,Female,Native American,10/28/1992,Bachelor's degree,Remote,Indianapolis,Single,Full Time
171231281,2020-07-30,,Deane,Itscowics,Software,QA,3655330750.0,2018169686.0,259741855.0,12104572130.0,Individual Contributor,84754,,,1,Male,Caucasian,6/25/2001,Bachelor's degree,Remote,Phoenix,Single,Full Time
173519645,2018-10-21,,Salem,Kisbey,Finance,Auditing,8890945608.0,3064528137.0,5312370235.0,12104572130.0,Individual Contributor,79827,,,1,Male,Caucasian,10/24/1985,Bachelor's degree,On-site,Los Angeles,Single,Full Time
174743114,2013-09-16,2014-07-15,Amitie,Abramson,HR,Training,8196851986.0,5146134789.0,2874824995.0,12104572130.0,Individual Contributor,55569,Voluntary,Better salary,0,Female,Hispanic,7/17/1988,Bachelor's degree,Remote,San Jose,Married,Full Time
175139954,2014-02-08,2016-01-01,Gavan,Trunkfield,Sales,Account Management,7201791507.0,1147520789.0,8057668487.0,12104572130.0,Individual Contributor,72019,Voluntary,Found a better opportunity,0,Male,Caucasian,8/17/1995,Master's degree,Remote,Houston,Single,Full Time
175214848,2015-10-16,2016-10-30,Murvyn,Thelwll,Software,Technical Support,9606060417.0,9281160388.0,9368442131.0,12104572130.0,Individual Contributor,72577,Involuntary,Performance,0,Male,Caucasian,5/29/1979,Bachelor's degree,On-site,Los Angeles,Single,Full Time
175255021,2018-10-31,,Nicolis,Friedenbach,HR,Benefits,2010047725.0,7971865728.0,5940412697.0,12104572130.0,Individual Contributor,71959,,,1,Male,Caucasian,8/1/1986,Bachelor's degree,Remote,Columbus,Single,Full Time
175827221,2018-07-15,,Eleanore,Camilleri,Administration,Executive Assistants,5810684935.0,1133455702.0,7922516714.0,12104572130.0,Individual Contributor,55365,,,1,Female,Caucasian,9/18/1981,Master's degree,Remote,San Antonio,Single,Full Time
184102475,2021-06-28,2021-10-13,Emmery,Deathridge,Finance,Financial Planning,7660853324.0,3905225288.0,3225775822.0,12104572130.0,Individual Contributor,75007,Voluntary,Career change,0,Male,Caucasian,4/20/1988,Bachelor's degree,On-site,San Francisco,Single,Full Time
185242609,2020-02-23,,Mallory,Mulkerrins,Sales,Sales Operations,1423323651.0,2231553779.0,8057668487.0,12104572130.0,Individual Contributor,85284,,,1,Male,Caucasian,9/4/1999,Bachelor's degree,Remote,Houston,Single,Full Time
186314521,2019-11-27,2021-12-24,Cori,Brierley,Product Development,Product Management,7785638811.0,6592458020.0,2316448272.0,12104572130.0,Individual Contributor,86283,Voluntary,More flexible benefits,0,Male,Caucasian,10/12/1987,Bachelor's degree,On-site,Dallas,Single,Full Time
187620871,2020-08-06,2020-12-10,Hurleigh,Rucklidge,Sales,Sales Operations,9588662057.0,5701309242.0,12104572130.0,,Team Lead,91706,Voluntary,Found a better opportunity,0,Male,Caucasian,8/4/1989,Bachelor's degree,Remote,Washington DC,Married,Full Time
188738856,2019-12-23,,Eugen,Bein,Sales,Account Management,1590378635.0,7246033069.0,2169536929.0,12104572130.0,Individual Contributor,87494,,,1,Male,Caucasian,2/8/1989,Master's degree,Remote,Phoenix,Single,Full Time
191147400,2020-02-04,,Lucais,Skedge,HR,Recruiting,345003369.0,9510187895.0,8377149542.0,12104572130.0,Individual Contributor,71660,,,1,Male,Caucasian,11/17/1990,Bachelor's degree,Remote,San Francisco,Single,Full Time
192869483,2013-06-19,,Kerstin,Keig,Administration,Facilities,6638215922.0,2840761127.0,3529946098.0,12104572130.0,Individual Contributor,68214,,,1,Female,Asian,6/1/1985,Bachelor's degree,Remote,Dallas,Single,Full Time
198705652,2015-07-23,,Josephina,Siaspinski,Software,Software Development,8910285795.0,5942974370.0,12104572130.0,,Team Lead,101488,,,1,Female,Caucasian,7/22/1994,,Remote,Chicago,Single,Full Time
200724582,2014-10-05,2016-08-17,Roderigo,Abarough,Operations,Logistics,7138776396.0,7406542888.0,9452810041.0,12104572130.0,Individual Contributor,86582,Voluntary,Found a better opportunity,0,Male,Asian,2/20/2000,Bachelor's degree,Remote,San Diego,Single,Full Time
204088769,2016-03-07,,Alfie,Grey,Sales,Sales Operations,5898696889.0,2305445429.0,8057668487.0,12104572130.0,Individual Contributor,61077,,,1,Male,Other,11/11/1986,Bachelor's degree,Remote,Denver,Single,Full Time
206167327,2021-07-12,,Sargent,Barense,Operations,Supply Chain,3391078453.0,5721091419.0,9843016922.0,12104572130.0,Individual Contributor,85644,,,1,Male,Caucasian,8/5/1982,Bachelor's degree,Remote,San Antonio,Single,Full Time
206561429,2020-03-14,,Manny,Blakiston,Customer Service,Customer Support,6367159762.0,8237113481.0,9657388599.0,12104572130.0,Individual Contributor,62517,,,1,Male,Caucasian,12/8/1972,Bachelor's degree,Remote,Philadelphia,Married,Full Time
208199686,2015-08-07,,Agatha,Simms,Marketing,Marketing Research,2668671041.0,776913542.0,9743222543.0,12104572130.0,Individual Contributor,66285,,,1,Female,Caucasian,6/8/2000,Bachelor's degree,On-site,Dallas,Single,Full Time
208295087,2012-07-12,,Paddy,Strangman,Software,Technical Support,1411913625.0,4246658747.0,9195070758.0,12104572130.0,Individual Contributor,84654,,,1,Male,Caucasian,8/22/1981,Bachelor's degree,Remote,Denver,Single,Full Time
210504182,2021-10-24,,Meade,Nealy,Administration,Executive Assistants,2865077277.0,7922516714.0,12104572130.0,,Team Lead,61338,,,1,Male,Caucasian,6/21/1996,Bachelor's degree,On-site,Dallas,Single,Full Time
213639128,2013-03-29,,Atalanta,Sousa,Sales,Sales Operations,4167242155.0,2747567836.0,4098218245.0,12104572130.0,Individual Contributor,81267,,,1,Female,Caucasian,1/30/1978,Bachelor's degree,Remote,Phoenix,Married,Full Time
213642904,2021-09-29,2021-09-29,Garrick,Trippick,Legal,Litigation,5222419382.0,12104572130.0,,,Manager,93607,Voluntary,More flexible benefits,0,Male,African American,3/15/1992,Master's degree,Remote,Seattle,Single,Full Time
216195963,2013-03-29,2015-03-01,Cayla,Fist,Software,QA,3228223998.0,1097818055.0,5959242695.0,12104572130.0,Individual Contributor,94672,Voluntary,Found a better opportunity,0,Female,Caucasian,8/26/2001,Bachelor's degree,Remote,Boston,Single,Full Time
216953146,2020-06-18,,Constantin,Date,Operations,Supply Chain,8495424892.0,12104572130.0,,,Manager,85316,,,1,Male,Caucasian,3/25/1991,Bachelor's degree,On-site,Los Angeles,Single,Full Time
217845390,2018-03-03,,Nicolas,Dinkin,Sales,Account Management,5602375624.0,2747567836.0,2169536929.0,12104572130.0,Individual Contributor,79460,,,1,Male,Native American,9/8/1991,Bachelor's degree,Remote,Denver,Single,Full Time
220655712,2015-01-03,,Kacie,Ackland,Finance,Financial Planning,9453398201.0,4077713505.0,6022803528.0,12104572130.0,Individual Contributor,92425,,,1,Female,Asian,6/8/1977,Bachelor's degree,Remote,San Diego,Married,Full Time
220747449,2012-12-21,,Asher,Barsby,Marketing,Public Relations,5182865458.0,8464356447.0,4092540016.0,12104572130.0,Individual Contributor,87089,,,1,Male,Caucasian,1/29/1988,Bachelor's degree,On-site,Los Angeles,Single,Full Time
224580109,2018-12-05,2019-09-29,Alexis,Lingfoot,Customer Service,Customer Support,1173750454.0,6384586478.0,9657388599.0,12104572130.0,Individual Contributor,67442,Involuntary,Budget cuts,0,Male,Caucasian,4/17/1996,Bachelor's degree,Remote,Indianapolis,Married,Full Time
225914158,2021-07-27,,Ora,Kidby,Software,Software Development,4917030504.0,5390863100.0,226422921.0,12104572130.0,Individual Contributor,90785,,,1,Female,Asian,9/21/1999,Bachelor's degree,Remote,San Jose,Single,Full Time
225928696,2013-12-07,,Shadow,Kerrey,Administration,Travel,1418187999.0,1133455702.0,1055389029.0,12104572130.0,Individual Contributor,68669,,,1,Male,Caucasian,11/11/1994,,On-site,Los Angeles,Married,Full Time
226422921,2019-12-15,,Elbert,Besemer,Software,Software Development,12104572130.0,,,,Director,104288,,,1,Male,Caucasian,12/20/1997,Bachelor's degree,Remote,Denver,Single,Full Time
227927589,2012-11-16,,Fiona,Girodias,Procurement,Vendor Management,2779139578.0,8698109743.0,4284772434.0,12104572130.0,Individual Contributor,72498,,,1,Female,Caucasian,1/31/1986,Bachelor's degree,Remote,Jacksonville,Married,Full Time
230974861,2017-01-11,2018-01-17,Channa,Shoveller,Sales,Business Development,3350437227.0,2174287284.0,3142852362.0,12104572130.0,Individual Contributor,59226,Voluntary,More flexible benefits,0,Female,Caucasian,3/23/1995,Bachelor's degree,On-site,Los Angeles,Single,Full Time
231906979,2013-05-14,,Garald,Pryce,Sales,Account Management,7951572902.0,2188325953.0,12104572130.0,,Team Lead,84674,,,1,Male,Caucasian,9/10/1983,Bachelor's degree,On-site,Dallas,Single,Full Time
232129329,2016-03-14,,Xavier,Piper,Software,Software Development,708917092.0,1097818055.0,21007178.0,12104572130.0,Individual Contributor,102264,,,1,Male,Caucasian,9/13/1988,Master's degree,Remote,Washington DC,Single,Full Time
233049324,2016-11-04,2018-09-08,Giulio,Halversen,Software,QA,6505384746.0,4246658747.0,7708606215.0,12104572130.0,Individual Contributor,74861,Involuntary,Performance,0,Male,Caucasian,9/14/1990,Bachelor's degree,Remote,Houston,Single,Full Time
234689502,2016-03-28,,Gaile,Pinch,R&D,Prototyping,1643798800.0,9474330457.0,3314524903.0,12104572130.0,Individual Contributor,66606,,,1,Male,Caucasian,10/16/1988,Bachelor's degree,Remote,Philadelphia,Single,Full Time
235615350,2020-09-26,,Karrah,Mathew,Software,Technical Support,7726927943.0,9564800263.0,6129740252.0,12104572130.0,Individual Contributor,78299,,,1,Female,Caucasian,2/27/1986,Bachelor's degree,Remote,Phoenix,Single,Full Time
235964032,2012-01-26,2013-12-16,Reinhard,Blackburn,Marketing,Marketing Research,796361013.0,5584969996.0,9743222543.0,12104572130.0,Individual Contributor,84788,Voluntary,Found a better opportunity,0,Male,Caucasian,11/18/2000,Bachelor's degree,Remote,Houston,Single,Full Time
236835196,2013-12-10,,Barnett,Bratty,Software,Software Development,6638152289.0,3116630222.0,9451957864.0,12104572130.0,Individual Contributor,91509,,,1,Male,Caucasian,1/27/1998,Bachelor's degree,Remote,Fort Worth,Single,Full Time
237391676,2018-01-05,,Aurore,Lammie,Operations,Logistics,2422532302.0,9107093688.0,9452810041.0,12104572130.0,Individual Contributor,71420,,,1,Female,Caucasian,7/20/1981,Bachelor's degree,Remote,Columbus,Single,Full Time
237393653,2018-06-30,,Merwin,Lasham,HR,Training,5267318679.0,7548067465.0,2874824995.0,12104572130.0,Individual Contributor,65551,,,1,Male,African American,12/22/1984,Bachelor's degree,Remote,Columbus,Single,Full Time
240332981,2016-05-30,,Obidiah,Stair,Sales,Sales Operations,3052563332.0,4527024823.0,3142852362.0,12104572130.0,Individual Contributor,79373,,,1,Male,Caucasian,9/12/1998,,Remote,Chicago,Single,Full Time
240951251,2018-12-31,,Thebault,Deveraux,Sales,Account Management,8983780137.0,2188325953.0,12104572130.0,,Team Lead,93196,,,1,Male,Caucasian,8/23/1997,Bachelor's degree,On-site,Dallas,Married,Full Time
246743702,2021-04-10,,Jerrome,Cockshtt,Software,Technical Support,1747471771.0,9322200876.0,6268712051.0,12104572130.0,Individual Contributor,74824,,,1,Male,Caucasian,2/6/1985,Bachelor's degree,Remote,Philadelphia,Married,Full Time
